continent,percent
North America,87.6480789
Europe & Central Asia,78.24639899
Latin America & Caribbean,64.29410918
Middle East & North Africa,60.0251192
East Asia & Pacific,56.61170208
South Asia,30.07748512
Sub-Saharan Africa,25.12839791
