Year,Name of ship,About
1975,-,The US Apollo spacecraft and the former Soviet Soyuz spacecraft docked.
1981,-,US launced space shuttle.
1998,-,Construction of the International Space Station began.
2003,Shenzhou,China joined the crewed vehicle oweners.
2020,Crew Dragon,US launched the first commercially built vehicle to carry humans to space.
