Year	Number of Launches	Source
2011	38	pwc
2012	53	pwc
2013	129	pwc
2014	195	pwc
2015	172	pwc
2016	131	pwc
2017	342	pwc
2018	319	pwc
2019	352	pwc
2020	548	pwc
2021	806	pwc
2022	928	pwc
2023	765	pwc
2024	737	pwc
2025	821	pwc
2026	892	pwc
2027	1012	pwc
2028	958	pwc
2029	1010	pwc
2030	896	pwc
