"year, capital"
"2000, 0.08"
"2001, 0.09"
"2002, 0.1"
"2003, 0.08"
"2004, 0.4"
"2005, 0.1"
"2006, 0.11"
"2007, 0.2"
"2008, 0.3"
"2009, 0.25"
"2010, 0.6"
"2012, 0.3"
"2013, 0.4"
"2014, 1.01"
"2015, 3.0"
"2016, 3.2"
"2017, 4"
"2018, 2.9"
