Year,Name of ship,About
1961,Vostok,The former Soviet Union launched the first human spacecraft.
1961,Mercury,US mercury launched the human spacecraft.
1965,Soyuz,The former Soviet Union launched the Soyuz which is a type of spacecraft that many nations has used for decades to launch cosmonauts into space.
1969,Apollo,US succeeded to carry humans to the moon.
